bin_left,bin_right,count_all,count_test,count_random,count_quantile
-3.909413968695473,-3.8646766151868173,1,1,0,0
-3.8646766151868173,-3.819939261678161,1,0,0,1
-3.819939261678161,-3.7752019081695054,2,1,0,1
-3.7752019081695054,-3.7304645546608497,0,0,0,0
-3.7304645546608497,-3.6857272011521935,1,1,0,0
-3.6857272011521935,-3.640989847643538,2,1,0,1
-3.640989847643538,-3.596252494134882,2,1,0,1
-3.596252494134882,-3.5515151406262264,2,0,0,2
-3.5515151406262264,-3.5067777871175703,4,1,0,3
-3.5067777871175703,-3.4620404336089146,3,1,0,2
-3.4620404336089146,-3.4173030801002584,6,0,0,6
-3.4173030801002584,-3.3725657265916027,4,1,0,3
-3.3725657265916027,-3.327828373082947,12,4,0,8
-3.327828373082947,-3.2830910195742913,9,1,0,8
-3.2830910195742913,-3.238353666065635,8,1,0,7
-3.238353666065635,-3.1936163125569794,19,2,0,17
-3.1936163125569794,-3.1488789590483237,21,6,0,15
-3.1488789590483237,-3.1041416055396676,21,2,0,19
-3.1041416055396676,-3.059404252031012,33,6,0,27
-3.059404252031012,-3.014666898522356,45,10,0,35
-3.014666898522356,-2.9699295450137004,32,8,0,24
-2.9699295450137004,-2.9251921915050443,41,4,12,25
-2.9251921915050443,-2.8804548379963886,71,18,16,37
-2.8804548379963886,-2.8357174844877324,73,18,20,35
-2.8357174844877324,-2.7909801309790767,97,22,27,48
-2.7909801309790767,-2.746242777470421,115,23,27,65
-2.746242777470421,-2.7015054239617653,100,22,36,42
-2.7015054239617653,-2.656768070453109,136,27,47,62
-2.656768070453109,-2.6120307169444534,176,36,59,81
-2.6120307169444534,-2.5672933634357973,222,38,66,118
-2.5672933634357973,-2.5225560099271416,266,66,91,109
-2.5225560099271416,-2.477818656418486,293,45,171,77
-2.477818656418486,-2.43308130290983,279,40,148,91
-2.43308130290983,-2.3883439494011744,416,83,209,124
-2.3883439494011744,-2.3436065958925183,436,107,201,128
-2.3436065958925183,-2.2988692423838626,430,81,216,133
-2.2988692423838626,-2.2541318888752064,499,107,221,171
-2.2541318888752064,-2.2093945353665507,504,91,249,164
-2.2093945353665507,-2.164657181857895,457,93,208,156
-2.164657181857895,-2.1199198283492393,458,95,219,144
-2.1199198283492393,-2.075182474840583,452,80,214,158
-2.075182474840583,-2.0304451213319274,355,69,138,148
-2.0304451213319274,-1.9857077678232715,303,66,117,120
-1.9857077678232715,-1.9409704143146156,265,53,108,104
-1.9409704143146156,-1.8962330608059599,203,52,71,80
-1.8962330608059599,-1.8514957072973042,171,37,67,67
-1.8514957072973042,-1.806758353788648,140,24,54,62
-1.806758353788648,-1.7620210002799923,96,21,28,47
-1.7620210002799923,-1.7172836467713366,89,13,34,42
-1.7172836467713366,-1.6725462932626805,48,11,21,16
-1.6725462932626805,-1.6278089397540247,50,7,11,32
-1.6278089397540247,-1.583071586245369,29,7,0,22
-1.583071586245369,-1.5383342327367129,48,10,0,38
-1.5383342327367129,-1.4935968792280572,21,2,0,19
-1.4935968792280572,-1.4488595257194015,17,4,0,13
-1.4488595257194015,-1.4041221722107453,13,4,0,9
-1.4041221722107453,-1.3593848187020896,12,0,0,12
-1.3593848187020896,-1.314647465193434,10,3,0,7
-1.314647465193434,-1.2699101116847782,11,0,0,11
-1.2699101116847782,-1.225172758176122,9,1,0,8
-1.225172758176122,-1.1804354046674663,8,3,0,5
-1.1804354046674663,-1.1356980511588106,11,3,0,8
-1.1356980511588106,-1.0909606976501545,11,4,0,7
-1.0909606976501545,-1.0462233441414988,6,0,0,6
-1.0462233441414988,-1.001485990632843,7,0,0,7
-1.001485990632843,-0.9567486371241869,6,0,0,6
-0.9567486371241869,-0.9120112836155312,4,1,0,3
-0.9120112836155312,-0.8672739301068755,9,1,0,8
-0.8672739301068755,-0.8225365765982193,4,0,0,4
-0.8225365765982193,-0.7777992230895636,4,1,0,3
-0.7777992230895636,-0.7330618695809079,4,3,0,1
-0.7330618695809079,-0.6883245160722522,9,2,0,7
-0.6883245160722522,-0.643587162563596,7,1,0,6
-0.643587162563596,-0.5988498090549403,6,2,0,4
-0.5988498090549403,-0.5541124555462846,12,3,0,9
-0.5541124555462846,-0.5093751020376285,4,2,0,2
-0.5093751020376285,-0.46463774852897277,0,0,0,0
-0.46463774852897277,-0.41990039502031706,2,0,0,2
-0.41990039502031706,-0.3751630415116609,1,0,0,1
-0.3751630415116609,-0.3304256880030052,1,0,0,1
-0.3304256880030052,-0.2856883344943495,2,0,0,2
-0.2856883344943495,-0.24095098098569334,3,0,0,3
-0.24095098098569334,-0.19621362747703763,2,0,0,2
-0.19621362747703763,-0.15147627396838192,0,0,0,0
-0.15147627396838192,-0.10673892045972577,0,0,0,0
-0.10673892045972577,-0.062001566951070064,0,0,0,0
-0.062001566951070064,-0.017264213442414356,0,0,0,0
-0.017264213442414356,0.027473140066241797,2,0,0,2
0.027473140066241797,0.0722104935748975,1,0,0,1
0.0722104935748975,0.11694784708355321,0,0,0,0
0.11694784708355321,0.16168520059220892,0,0,0,0
0.16168520059220892,0.20642255410086463,0,0,0,0
0.20642255410086463,0.2511599076095212,0,0,0,0
0.2511599076095212,0.29589726111817694,0,0,0,0
0.29589726111817694,0.34063461462683264,0,0,0,0
0.34063461462683264,0.38537196813548835,0,0,0,0
0.38537196813548835,0.43010932164414406,0,0,0,0
0.43010932164414406,0.47484667515279977,0,0,0,0
0.47484667515279977,0.5195840286614555,0,0,0,0
0.5195840286614555,0.5643213821701125,1,0,0,1
